object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Encoding,Encoding,10.9578452999704,11.0406271999236,11.7622916999971,11.8232225000393,,,,,,,,,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Encoding,Encoding,12.3408684999449,12.424196899985,13.1470085999463,13.2233487999765,,,,,,,,,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Encoding,Encoding,13.741125099943,13.8242622999242,14.5566156000132,14.639775199932,,,,,,,,,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Encoding,Encoding,15.3233833999839,15.4063979999628,15.9396774999332,16.0230130000273,,,,,,,,,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Encoding,Encoding,16.5896941999672,16.6730637999717,17.2900245999917,17.3731373000192,,,,,,,,,,
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,Retrieval,Lure,,,,,,,24.969624600024,25.0396034999285,,,25.7916212999262,25.8729007999646,,
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,Retrieval,Lure,,,,,,,26.4250421000179,26.5059897999745,,,27.0656056000153,27.139127900009,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Retrieval,Retrieval,,,,,,,27.8270559000084,27.905864499975,,,28.4637920999667,28.5391163999448,,
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,Retrieval,Lure,,,,,,,29.093127500033,29.1725530999247,,,29.8315155999735,29.9057459000032,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Retrieval,Retrieval,,,,,,,30.4308314999798,30.5056719999993,,,31.0664544999599,31.1389986999566,,
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Retrieval,Retrieval,,,,,,,31.7772901999997,31.8558295000112,,,32.3956631999463,32.4721638000337,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Retrieval,Retrieval,,,,,,,32.9890003999462,33.072449499974,,,33.7142174999462,33.78897340002,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Retrieval,Retrieval,,,,,,,34.3556805999251,34.4389259000309,,,34.994299300015,35.0721739999717,,
dragon_statue,Queen Elizabeth,Hugh Grant,Brad Pitt,0.55,Encoding,Encoding,11.9412144999951,12.0243663999718,12.7493891000049,12.8235909000505,,,,,,,,,,
cash_register,John Kennedy,Zac Effron,Queen Elizabeth,0.65,Encoding,Encoding,13.4903178999666,13.5736907999963,14.1904505999992,14.2735371000599,,,,,,,,,,
swimsuit,Hugh Grant,Brad Pitt,Zac Effron,0.56,Encoding,Encoding,14.8575880000135,14.9406000999734,15.523593800026,15.6070517000044,,,,,,,,,,
saltshaker,Zac Effron,Brad Pitt,Charlize Therone,0.63,Encoding,Encoding,16.2568855000427,16.3402812000131,16.9568394999951,17.0403942000121,,,,,,,,,,
flower_pot,Brad Pitt,Zac Effron,Queen Elizabeth,0.65,Encoding,Encoding,17.7079368999694,17.7910786999855,18.3293660000199,18.4070010000141,,,,,,,,,,
yarn,Dwayne Johnson,Zac Effron,Chris Hemsworth,0.52,Encoding,Encoding,18.9411830999888,19.0243043999653,19.5813562000403,19.6566280999687,,,,,,,,,,
pot_of_gold,Drake Graham,Hugh Grant,Zac Effron,0.63,Encoding,Encoding,20.3067047999939,20.3903968000086,21.1495675999904,21.223438099958,,,,,,,,,,
