object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
lantern,Morgan Freeman,Condoliza Rice,Chris Hemsworth,0.72,Encoding,Encoding,21.9568643999519,22.0414093000581,22.7950547999935,22.8734267000109,,,,,,,,,,
razor,Paris Hilton,Brad Pitt,Chris Hemsworth,0.74,Encoding,Encoding,23.6242265000474,23.7076410000445,24.3616001999471,24.4400455000577,,,,,,,,,,
money,Condoliza Rice,John Kennedy,Chris Hemsworth,0.53,Encoding,Encoding,24.9909741999581,25.0739774999674,25.6129349999828,25.6902188999811,,,,,,,,,,
crowbar,Chris Hemsworth,Morgan Freeman,Brad Pitt,0.55,Encoding,Encoding,26.2575285000494,26.3410044000484,26.9304473999655,27.006579900044,,,,,,,,,,
chainsaw,Mark Walberg,Chris Hemsworth,Hugh Grant,0.64,Encoding,Encoding,27.657458200003,27.7402720999671,28.3480935000116,28.4230952999787,,,,,,,,,,
totem_pole,Charlize Therone,John Kennedy,Queen Elizabeth,0.75,Encoding,Encoding,29.1904639999848,29.2739557999885,30.0095325000584,30.0896840000059,,,,,,,,,,
pocket_watch,Robert Pattinson,Dwayne Johnson,Hugh Grant,0.59,Encoding,Encoding,30.6907878000056,30.7739514999557,31.2986408000579,31.3728514000541,,,,,,,,,,
pot_of_gold,Drake Graham,Hugh Grant,Zac Effron,0.63,Retrieval,Retrieval,,,,,,,34.0298021000344,34.1061499000061,,,34.814178999979,34.8895771000534,,
trumpet,Charlize Therone,Condoliza Rice,Zac Effron,0.58,Retrieval,Lure,,,,,,,35.4918706000317,35.5729043000611,,,36.1642496000277,36.2394873000449,,
flower_pot,Brad Pitt,Zac Effron,Queen Elizabeth,0.65,Retrieval,Retrieval,,,,,,,36.9109014000278,36.9895991999656,,,37.56392710004,37.639660899993,,
swimsuit,Hugh Grant,Brad Pitt,Zac Effron,0.56,Retrieval,Retrieval,,,,,,,38.2278582999716,38.3063253000146,,,38.8460308000213,38.9230037999805,,
yarn,Dwayne Johnson,Zac Effron,Chris Hemsworth,0.52,Retrieval,Retrieval,,,,,,,39.4619378000498,39.5394678000594,,,40.1776638999581,40.2561366000446,,
stroller,Condoliza Rice,Charlize Therone,Drake Graham,0.57,Retrieval,Lure,,,,,,,40.8426018999889,40.9228444000473,,,41.5813016999746,41.6557294999948,,
saltshaker,Zac Effron,Brad Pitt,Charlize Therone,0.63,Retrieval,Retrieval,,,,,,,42.3086861000629,42.3891845999751,,,42.9987072000513,43.0724733000388,,
dragon_statue,Queen Elizabeth,Hugh Grant,Brad Pitt,0.55,Retrieval,Retrieval,,,,,,,43.6420323000057,43.7223827999551,,,44.4801263000118,44.5555721999845,,
cash_register,John Kennedy,Zac Effron,Queen Elizabeth,0.65,Retrieval,Retrieval,,,,,,,45.2258296000073,45.3056902999524,,,45.9807231000159,46.0557807000587,,
lantern,Morgan Freeman,Condoliza Rice,Chris Hemsworth,0.72,Retrieval,Retrieval,,,,,,,46.7887450000271,46.872061299975,,,47.4554470999865,47.5387432000134,,
pick,Robert Pattinson,Hugh Grant,Mark Walberg,0.63,Retrieval,Lure,,,,,,,48.1886706999503,48.2719577000244,,,48.8283396000043,48.9055181000149,,
money,Condoliza Rice,John Kennedy,Chris Hemsworth,0.53,Retrieval,Retrieval,,,,,,,49.458542300039,49.5388243000489,,,50.2885220999597,50.3717727999901,,
crowbar,Chris Hemsworth,Morgan Freeman,Brad Pitt,0.55,Retrieval,Retrieval,,,,,,,50.9437659999821,51.0222766000079,,,51.7797060000012,51.855407700059,,
beret,Robert Pattinson,Chris Hemsworth,Zac Effron,0.61,Retrieval,Lure,,,,,,,52.4932855999796,52.5721015000017,,,53.1931391999824,53.2720415999647,,
razor,Paris Hilton,Brad Pitt,Chris Hemsworth,0.74,Retrieval,Retrieval,,,,,,,54.0257311000023,54.1053276000312,,,54.8141121000517,54.8886856000172,,
chainsaw,Mark Walberg,Chris Hemsworth,Hugh Grant,0.64,Retrieval,Retrieval,,,,,,,55.5430857000174,55.62166970002,,,56.2317486000247,56.305050099967,,
pocket_watch,Robert Pattinson,Dwayne Johnson,Hugh Grant,0.59,Retrieval,Retrieval,,,,,,,56.9085511000594,56.988380099996,,,57.5813639999833,57.6549907999579,,
totem_pole,Charlize Therone,John Kennedy,Queen Elizabeth,0.75,Retrieval,Retrieval,,,,,,,58.4274462000467,58.504984500003,,,59.2143157999963,59.2883997999597,,
