object,target,lure1,lure2,baseline,stim_onset,stim_end,response,correct_response,response_onset,RT,subject_ID,block,trial_total,trial_task,trial_type,retrival_type,list
snowflake,Angelina Jolie,NaN,NaN,0.61,16.6612557000481,16.7445742000127,NaN,NaN,NaN,,0,0,1,1,Encoding,NaN,S01
snowflake,Angelina Jolie,NaN,NaN,0.61,17.3255651000654,17.3935537000652,,NaN,,,0,0,2,1,Encoding,NaN,S01
whistle,Bruce Willis,NaN,NaN,0.5,17.9108912000665,17.9942062000046,NaN,NaN,NaN,,0,0,3,2,Encoding,NaN,S01
whistle,Bruce Willis,NaN,NaN,0.5,18.5826768999686,18.6599515000125,,NaN,,,0,0,4,2,Encoding,NaN,S01
armor,Daniel Craig,NaN,NaN,0.5,19.1770895000082,19.2608553000027,NaN,NaN,NaN,,0,0,5,3,Encoding,NaN,S01
armor,Daniel Craig,NaN,NaN,0.5,19.8200638999697,19.8930519999703,,NaN,,,0,0,6,3,Encoding,NaN,S01
violin,Lady Diana,NaN,NaN,0.66,20.5763898000587,20.6604094000068,NaN,NaN,NaN,,0,0,7,4,Encoding,NaN,S01
violin,Lady Diana,NaN,NaN,0.66,21.2123728999868,21.2933284000028,,NaN,,,0,0,8,4,Encoding,NaN,S01
sarcophagus,Robert De Niro,NaN,NaN,0.55,21.8597698999802,21.9430229000282,NaN,NaN,NaN,,0,0,9,5,Encoding,NaN,S01
sarcophagus,Robert De Niro,NaN,NaN,0.55,22.6878665999975,22.759920499986,,NaN,,,0,0,10,5,Encoding,NaN,S01
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,30.4663305999711,30.5428958999692,,4,,,0,0,11,1,Retrieval,Lure,S01
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,31.2891495000804,31.3593199000461,,NaN,,,0,0,12,1,Retrieval,Lure,S01
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,31.9145295000635,31.9929309000727,,4,,,0,0,13,2,Retrieval,Lure,S01
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,32.6159625999862,32.6928270000499,,NaN,,,0,0,14,2,Retrieval,Lure,S01
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,33.3820468999911,33.4594914000481,,1,,,0,0,15,3,Retrieval,Retrieval,S01
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,34.030806499999,34.1093976000557,,NaN,,,0,0,16,3,Retrieval,Retrieval,S01
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,34.668265699991,34.7425857000053,,4,,,0,0,17,4,Retrieval,Lure,S01
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,35.5006451000227,35.5758818000322,,NaN,,,0,0,18,4,Retrieval,Lure,S01
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,36.1006177000236,36.1758209000109,,3,,,0,0,19,5,Retrieval,Retrieval,S01
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,36.7796591999941,36.8590134000406,,NaN,,,0,0,20,5,Retrieval,Retrieval,S01
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,37.4925164000597,37.5757607000414,,3,,,0,0,21,6,Retrieval,Retrieval,S01
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,38.3022557999939,38.3756904000184,,NaN,,,0,0,22,6,Retrieval,Retrieval,S01
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,38.8955973000266,38.9758757000091,,2,,,0,0,23,7,Retrieval,Retrieval,S01
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,39.517231100006,39.5922686000122,,NaN,,,0,0,24,7,Retrieval,Retrieval,S01
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,40.1616025000112,40.2425137000391,,1,,,0,0,25,8,Retrieval,Retrieval,S01
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,40.9011837000726,40.9756478000199,,NaN,,,0,0,26,8,Retrieval,Retrieval,S01
