object,target,lure1,lure2,baseline,stim_onset,stim_end,response,correct_response,response_onset,RT,subject_ID,block,trial_total,trial_task,trial_type,retrival_type,list
snowflake,Angelina Jolie,NaN,NaN,0.61,16.9403276999947,17.0238024999853,NaN,NaN,NaN,,D11,0,1,1,Encoding,NaN,S01
snowflake,Angelina Jolie,NaN,NaN,0.61,17.7670041000238,17.8237116000382,,NaN,,,D11,0,2,1,Encoding,NaN,S01
whistle,Bruce Willis,NaN,NaN,0.5,18.3405011000577,18.4238614999922,NaN,NaN,NaN,,D11,0,3,2,Encoding,NaN,S01
whistle,Bruce Willis,NaN,NaN,0.5,19.1791596000548,19.2570066000335,,NaN,,,D11,0,4,2,Encoding,NaN,S01
armor,Daniel Craig,NaN,NaN,0.5,19.7745863000164,19.8575524000917,NaN,NaN,NaN,,D11,0,5,3,Encoding,NaN,S01
armor,Daniel Craig,NaN,NaN,0.5,20.4072757000104,20.4902276000939,,NaN,,,D11,0,6,3,Encoding,NaN,S01
violin,Lady Diana,NaN,NaN,0.66,21.1744623000268,21.2568401000462,NaN,NaN,NaN,,D11,0,7,4,Encoding,NaN,S01
violin,Lady Diana,NaN,NaN,0.66,22.0138913000701,22.0901355000678,,NaN,,,D11,0,8,4,Encoding,NaN,S01
sarcophagus,Robert De Niro,NaN,NaN,0.55,22.6576670000795,22.741098400089,NaN,NaN,NaN,,D11,0,9,5,Encoding,NaN,S01
sarcophagus,Robert De Niro,NaN,NaN,0.55,23.4320002000313,23.5069034000626,,NaN,,,D11,0,10,5,Encoding,NaN,S01
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,30.5557341000531,30.6232852000976,,4,,,D11,0,11,1,Retrieval,Lure,S01
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,31.3854021000443,31.4563709000358,,NaN,,,D11,0,12,1,Retrieval,Lure,S01
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,32.0117581000086,32.0898196999915,,4,,,D11,0,13,2,Retrieval,Lure,S01
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,32.8441901000915,32.9229266000912,,NaN,,,D11,0,14,2,Retrieval,Lure,S01
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,33.6064841999905,33.6898280000314,,2,,,D11,0,15,3,Retrieval,Retrieval,S01
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,34.3363645999925,34.4062858000398,,NaN,,,D11,0,16,3,Retrieval,Retrieval,S01
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,34.9610147000058,35.0397597000701,,4,,,D11,0,17,4,Retrieval,Lure,S01
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,35.7322016999824,35.8064232000615,,NaN,,,D11,0,18,4,Retrieval,Lure,S01
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,36.3279868999962,36.4066099000629,,1,,,D11,0,19,5,Retrieval,Retrieval,S01
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,37.0959578000475,37.173198100063,,NaN,,,D11,0,20,5,Retrieval,Retrieval,S01
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,37.8146016000537,37.8896632000105,,3,,,D11,0,21,6,Retrieval,Retrieval,S01
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,38.5837318000849,38.6560843000188,,NaN,,,D11,0,22,6,Retrieval,Retrieval,S01
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,39.1766866000835,39.2561791000189,,2,,,D11,0,23,7,Retrieval,Retrieval,S01
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,39.8497825000668,39.9226175000658,,NaN,,,D11,0,24,7,Retrieval,Retrieval,S01
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,40.4925988999894,40.5727737999987,,1,,,D11,0,25,8,Retrieval,Retrieval,S01
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,41.2657244000584,41.3392372000962,,NaN,,,D11,0,26,8,Retrieval,Retrieval,S01
