"object","target","lure1","lure2","baseline","trial_type","retrieval_type"
"tuba","Scarlett Johansson","Albert Einstein","Mariah Carey",0.74,"Encoding","Encoding"
"belt","Paris Hilton","George Bush","Lady Gaga",0.73,"Encoding","Encoding"
"anchor","George Bush","Lady Gaga","Paris Hilton",0.56,"Encoding","Encoding"
"viking_helmet","Donald Trump","Lady Gaga","Cristiano Ronaldo",0.66,"Encoding","Encoding"
"tambourine","Jackie Chan","Mariah Carey","Scarlett Johansson",0.5,"Encoding","Encoding"
"diaper","Mark Zuckerberg","Mariah Carey","George Bush",0.68,"Encoding","Encoding"
"grater","Lady Gaga","George Bush","Mariah Carey",0.67,"Encoding","Encoding"
"saltshaker","Julia Roberts","Mariah Carey","George Bush",0.51,"Encoding","Encoding"
"flower_pot","Keira Knightley","Donald Trump","Julia Roberts",0.59,"Encoding","Encoding"
"mask","Mariah Carey","George Bush","Jackie Chan",0.66,"Encoding","Encoding"
"joystick","Oprah Winfrey","Albert Einstein","Stephen Hawking",0.67,"Encoding","Encoding"
"mixer","Cristiano Ronaldo","Donald Trump","Jackie Chan",0.73,"Encoding","Encoding"
"flask","Stephen Hawking","Cristiano Ronaldo","Keira Knightley",0.65,"Encoding","Encoding"
"disk","Albert Einstein","Stephen Hawking","Mariah Carey",0.51,"Encoding","Encoding"
"cash_register","Cristiano Ronaldo","Paris Hilton","Keira Knightley",0.63,"Retrieval","Lure"
"oven","Lady Gaga","Keira Knightley","Albert Einstein",0.58,"Retrieval","Lure"
"anchor","George Bush","Lady Gaga","Paris Hilton",0.56,"Retrieval","Retrieval"
"diaper","Mark Zuckerberg","Mariah Carey","George Bush",0.68,"Retrieval","Retrieval"
"tambourine","Jackie Chan","Mariah Carey","Scarlett Johansson",0.5,"Retrieval","Retrieval"
"tuba","Scarlett Johansson","Albert Einstein","Mariah Carey",0.74,"Retrieval","Retrieval"
"viking_helmet","Donald Trump","Lady Gaga","Cristiano Ronaldo",0.66,"Retrieval","Retrieval"
"grater","Lady Gaga","George Bush","Mariah Carey",0.67,"Retrieval","Retrieval"
"belt","Paris Hilton","George Bush","Lady Gaga",0.73,"Retrieval","Retrieval"
"globe","Julia Roberts","Mariah Carey","George Bush",0.64,"Retrieval","Lure"
"mask","Mariah Carey","George Bush","Jackie Chan",0.66,"Retrieval","Retrieval"
"oil_can","Cristiano Ronaldo","Julia Roberts","Donald Trump",0.58,"Retrieval","Lure"
"saltshaker","Julia Roberts","Mariah Carey","George Bush",0.51,"Retrieval","Retrieval"
"flask","Stephen Hawking","Cristiano Ronaldo","Keira Knightley",0.65,"Retrieval","Retrieval"
"joystick","Oprah Winfrey","Albert Einstein","Stephen Hawking",0.67,"Retrieval","Retrieval"
"mixer","Cristiano Ronaldo","Donald Trump","Jackie Chan",0.73,"Retrieval","Retrieval"
"flower_pot","Keira Knightley","Donald Trump","Julia Roberts",0.59,"Retrieval","Retrieval"
"disk","Albert Einstein","Stephen Hawking","Mariah Carey",0.51,"Retrieval","Retrieval"
