"object","target","lure1","lure2","baseline","trial_type","retrieval_type"
"coffeemaker","Anne Hathaway","Mother Teresa","Nicole Kidman",0.61,"Encoding","Encoding"
"lock_cutters","Ed Sheeran","Scarlett Johansson","John Kennedy",0.61,"Encoding","Encoding"
"oil_can","Harrison Ford","Anne Hathaway","Scarlett Johansson",0.61,"Encoding","Encoding"
"mask","Vladimir Putin","Harrison Ford","Jennifer Aniston",0.69,"Encoding","Encoding"
"trowel","Jennifer Aniston","Jessica Alba","Bill Clinton",0.66,"Encoding","Encoding"
"bell","Mark Zuckerberg","Bill Clinton","John Kennedy",0.72,"Encoding","Encoding"
"anchor","John Kennedy","Joe Biden","Scarlett Johansson",0.64,"Encoding","Encoding"
"headband","Mother Teresa","Mark Zuckerberg","Joe Biden",0.55,"Encoding","Encoding"
"viking_helmet","Scarlett Johansson","Joe Biden","Mother Teresa",0.71,"Encoding","Encoding"
"wrench","Nicole Kidman","Bill Clinton","Joe Biden",0.56,"Encoding","Encoding"
"pick","Bill Clinton","Vladimir Putin","Justin Bieber",0.74,"Encoding","Encoding"
"gear","Jessica Alba","Jennifer Aniston","Mark Zuckerberg",0.7,"Encoding","Encoding"
"tambourine","Justin Bieber","Jessica Alba","Jennifer Aniston",0.55,"Encoding","Encoding"
"jukebox","Joe Biden","Mark Zuckerberg","John Kennedy",0.58,"Encoding","Encoding"
"trowel","Jennifer Aniston","Jessica Alba","Bill Clinton",0.66,"Retrieval","Retrieval"
"bell","Mark Zuckerberg","Bill Clinton","John Kennedy",0.72,"Retrieval","Retrieval"
"bassoon","Vladimir Putin","Bill Clinton","Mark Zuckerberg",0.75,"Retrieval","Lure"
"acoustic_guitar","Mark Zuckerberg","Nicole Kidman","Scarlett Johansson",0.52,"Retrieval","Lure"
"coffeemaker","Anne Hathaway","Mother Teresa","Nicole Kidman",0.61,"Retrieval","Retrieval"
"lock_cutters","Ed Sheeran","Scarlett Johansson","John Kennedy",0.61,"Retrieval","Retrieval"
"oil_can","Harrison Ford","Anne Hathaway","Scarlett Johansson",0.61,"Retrieval","Retrieval"
"mask","Vladimir Putin","Harrison Ford","Jennifer Aniston",0.69,"Retrieval","Retrieval"
"anchor","John Kennedy","Joe Biden","Scarlett Johansson",0.64,"Retrieval","Retrieval"
"headband","Mother Teresa","Mark Zuckerberg","Joe Biden",0.55,"Retrieval","Retrieval"
"dryer","John Kennedy","Bill Clinton","Joe Biden",0.73,"Retrieval","Lure"
"mixer","Jessica Alba","Joe Biden","Ed Sheeran",0.73,"Retrieval","Lure"
"wrench","Nicole Kidman","Bill Clinton","Joe Biden",0.56,"Retrieval","Retrieval"
"jukebox","Joe Biden","Mark Zuckerberg","John Kennedy",0.58,"Retrieval","Retrieval"
"gear","Jessica Alba","Jennifer Aniston","Mark Zuckerberg",0.7,"Retrieval","Retrieval"
"viking_helmet","Scarlett Johansson","Joe Biden","Mother Teresa",0.71,"Retrieval","Retrieval"
"pick","Bill Clinton","Vladimir Putin","Justin Bieber",0.74,"Retrieval","Retrieval"
"tambourine","Justin Bieber","Jessica Alba","Jennifer Aniston",0.55,"Retrieval","Retrieval"
