object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
boombox,Jack Nicolson,Robin Williams,Daniel Radcliffe,0.65,Encoding,Encoding,-465.0157775,2.37398589999998,-465.0157775,7.1540028,1!,3.7548673,,,,,,,,
rolling_pin,Bill Gates,Nicolas Cage,Kanye West,0.67,Encoding,Encoding,,,,,,,,,,,,,,
diaper,Donald Trump,Nicolas Cage,Charlie Chaplin,0.74,Encoding,Encoding,,,,,,,,,,,,,,
crowbar,Matt Damon,Queen Elizabeth,Sandra Bullock,0.59,Encoding,Encoding,,,,,,,,,,,,,,
headband,Charlie Chaplin,Jack Nicolson,Bill Gates,0.51,Encoding,Encoding,,,,,,,,,,,,,,
oil_can,Nelson Mandela,Nicolas Cage,Steve Jobs,0.59,Encoding,Encoding,,,,,,,,,,,,,,
bell,Daniel Radcliffe,Steve Jobs,Jack Nicolson,0.53,Encoding,Encoding,,,,,,,,,,,,,,
bar_of_soap,Steve Jobs,Nelson Mandela,Lady Gaga,0.6,Encoding,Encoding,,,,,,,,,,,,,,
saltshaker,Nicolas Cage,Kanye West,Matt Damon,0.6,Encoding,Encoding,,,,,,,,,,,,,,
anchor,Queen Elizabeth,Sandra Bullock,Charlie Chaplin,0.75,Encoding,Encoding,,,,,,,,,,,,,,
rope,Kanye West,Donald Trump,Daniel Radcliffe,0.64,Encoding,Encoding,,,,,,,,,,,,,,
slot_machine,Lady Gaga,Bill Gates,Charlie Chaplin,0.73,Encoding,Encoding,,,,,,,,,,,,,,
walker,Robin Williams,Queen Elizabeth,Donald Trump,0.55,Encoding,Encoding,,,,,,,,,,,,,,
razor,Sandra Bullock,Kanye West,Donald Trump,0.72,Encoding,Encoding,,,,,,,,,,,,,,
rolling_pin,Bill Gates,Nicolas Cage,Kanye West,0.67,Retrieval,Retrieval,,,,,,,-465.0157775,17.8895641,2@,14.2921856,-465.0157775,24.1073775,3#,19.9257679
bell,Daniel Radcliffe,Steve Jobs,Jack Nicolson,0.53,Retrieval,Retrieval,,,,,,,,,,,,,,
oil_can,Nelson Mandela,Nicolas Cage,Steve Jobs,0.59,Retrieval,Retrieval,,,,,,,,,,,,,,
boombox,Jack Nicolson,Robin Williams,Daniel Radcliffe,0.65,Retrieval,Retrieval,,,,,,,,,,,,,,
diaper,Donald Trump,Nicolas Cage,Charlie Chaplin,0.74,Retrieval,Retrieval,,,,,,,,,,,,,,
headband,Charlie Chaplin,Jack Nicolson,Bill Gates,0.51,Retrieval,Retrieval,,,,,,,,,,,,,,
bracelet,Lady Gaga,Queen Elizabeth,Daniel Radcliffe,0.6,Retrieval,Lure,,,,,,,,,,,,,,
telephone,Nicolas Cage,Queen Elizabeth,Charlie Chaplin,0.66,Retrieval,Lure,,,,,,,,,,,,,,
crowbar,Matt Damon,Queen Elizabeth,Sandra Bullock,0.59,Retrieval,Retrieval,,,,,,,,,,,,,,
grater,Lady Gaga,Jack Nicolson,Queen Elizabeth,0.58,Retrieval,Lure,,,,,,,,,,,,,,
toothbrush,Queen Elizabeth,Robin Williams,Daniel Radcliffe,0.69,Retrieval,Lure,,,,,,,,,,,,,,
slot_machine,Lady Gaga,Bill Gates,Charlie Chaplin,0.73,Retrieval,Retrieval,,,,,,,,,,,,,,
rope,Kanye West,Donald Trump,Daniel Radcliffe,0.64,Retrieval,Retrieval,,,,,,,,,,,,,,
walker,Robin Williams,Queen Elizabeth,Donald Trump,0.55,Retrieval,Retrieval,,,,,,,,,,,,,,
razor,Sandra Bullock,Kanye West,Donald Trump,0.72,Retrieval,Retrieval,,,,,,,,,,,,,,
bar_of_soap,Steve Jobs,Nelson Mandela,Lady Gaga,0.6,Retrieval,Retrieval,,,,,,,,,,,,,,
saltshaker,Nicolas Cage,Kanye West,Matt Damon,0.6,Retrieval,Retrieval,,,,,,,,,,,,,,
anchor,Queen Elizabeth,Sandra Bullock,Charlie Chaplin,0.75,Retrieval,Retrieval,,,,,,,,,,,,,,
