object,target,lure1,lure2,baseline,stim_onset,stim_end,response,correct_response,response_onset,RT,subject_ID,block,trial_total,trial_task,trial_type,retrival_type,list
hand_saw,Sarah Palin,NaN,NaN,0.69,13.5058616999304,13.5833079000004,NaN,NaN,NaN,NaN,D14,5,1,1,Encoding,NaN,S01
hand_saw,Sarah Palin,NaN,NaN,0.69,14.3320244998904,14.3828714999836,,NaN,,,D14,5,2,1,Encoding,NaN,S01
carabiner,Justin Bieber,NaN,NaN,0.74,15.1338409999153,15.2169972999254,NaN,NaN,NaN,NaN,D14,5,3,2,Encoding,NaN,S01
carabiner,Justin Bieber,NaN,NaN,0.74,15.9662138998974,16.0496511999518,,NaN,,,D14,5,4,2,Encoding,NaN,S01
plunger,Oprah Winfrey,NaN,NaN,0.54,16.6004994999385,16.6838822999271,NaN,NaN,NaN,NaN,D14,5,5,3,Encoding,NaN,S01
plunger,Oprah Winfrey,NaN,NaN,0.54,17.2410789999412,17.316109099891,,NaN,,,D14,5,6,3,Encoding,NaN,S01
swiss_army_knife,Charlie Chaplin,NaN,NaN,0.55,17.8842086999211,17.9662338999333,NaN,NaN,NaN,NaN,D14,5,7,4,Encoding,NaN,S01
swiss_army_knife,Charlie Chaplin,NaN,NaN,0.55,18.7227555999998,18.7991834999993,,NaN,,,D14,5,8,4,Encoding,NaN,S01
cowbell,Daniel Radcliffe,NaN,NaN,0.67,19.4830446999986,19.5664414999774,NaN,NaN,NaN,NaN,D14,5,9,5,Encoding,NaN,S01
cowbell,Daniel Radcliffe,NaN,NaN,0.67,20.2589291998884,20.3323791999137,,NaN,,,D14,5,10,5,Encoding,NaN,S01
disk,Mother Teresa,NaN,NaN,0.55,20.8999857999152,20.9828328998992,NaN,NaN,NaN,NaN,D14,5,11,6,Encoding,NaN,S01
disk,Mother Teresa,NaN,NaN,0.55,21.5274847999681,21.5988610999193,,NaN,,,D14,5,12,6,Encoding,NaN,S01
laptop,Steve Jobs,NaN,NaN,0.5,22.1155620999634,22.1989054000005,NaN,NaN,NaN,NaN,D14,5,13,7,Encoding,NaN,S01
laptop,Steve Jobs,NaN,NaN,0.5,22.7823561999248,22.8654662999325,,NaN,,,D14,5,14,7,Encoding,NaN,S01
headband,Nicole Kidman,NaN,NaN,0.54,23.4155063999351,23.499027099926,NaN,NaN,NaN,NaN,D14,5,15,8,Encoding,NaN,S01
headband,Nicole Kidman,NaN,NaN,0.54,24.1572964999359,24.2323376999702,,NaN,,,D14,5,16,8,Encoding,NaN,S01
syringe,Robin Williams,NaN,NaN,0.65,24.8989208999556,24.9822922999738,NaN,NaN,NaN,NaN,D14,5,17,9,Encoding,NaN,S01
syringe,Robin Williams,NaN,NaN,0.65,25.7410478999373,25.815367299947,,NaN,,,D14,5,18,9,Encoding,NaN,S01
harp,Taylor Swift,NaN,NaN,0.66,26.4998080999358,26.5830188998953,NaN,NaN,NaN,NaN,D14,5,19,10,Encoding,NaN,S01
harp,Taylor Swift,NaN,NaN,0.66,27.3363025999861,27.4153593999799,,NaN,,,D14,5,20,10,Encoding,NaN,S01
coin,Keira Knightley,NaN,NaN,0.64,28.0664077999536,28.1491984999739,NaN,NaN,NaN,NaN,D14,5,21,11,Encoding,NaN,S01
coin,Keira Knightley,NaN,NaN,0.64,28.7048005999532,28.7818622998893,,NaN,,,D14,5,22,11,Encoding,NaN,S01
blouse,George Bush,NaN,NaN,0.67,29.4662259999895,29.5497098999331,NaN,NaN,NaN,NaN,D14,5,23,12,Encoding,NaN,S01
blouse,George Bush,NaN,NaN,0.67,30.2986028000014,30.3820625999942,,NaN,,,D14,5,24,12,Encoding,NaN,S01
trowel,Stephen Hawking,NaN,NaN,0.72,31.1161568999523,31.1997605999932,NaN,NaN,NaN,NaN,D14,5,25,13,Encoding,NaN,S01
trowel,Stephen Hawking,NaN,NaN,0.72,31.952780899941,32.0319821999874,,NaN,,,D14,5,26,13,Encoding,NaN,S01
acoustic_guitar,Jim Carrey,NaN,NaN,0.69,32.7326598999789,32.8156192000024,NaN,NaN,NaN,NaN,D14,5,27,14,Encoding,NaN,S01
acoustic_guitar,Jim Carrey,NaN,NaN,0.69,33.4509439999238,33.531909699901,,NaN,,,D14,5,28,14,Encoding,NaN,S01
hand_saw,Sarah Palin,Steve Jobs,Mother Teresa,0.69,36.2367265999783,36.3147927999962,,3,,,D14,5,29,1,Retrieval,Retrieval,S01
hand_saw,Sarah Palin,Steve Jobs,Mother Teresa,0.69,37.0771993999369,37.1480947999517,,NaN,,,D14,5,30,1,Retrieval,Retrieval,S01
disk,Mother Teresa,Sarah Palin,Robin Williams,0.55,37.7197173999157,37.7983839999652,,2,,,D14,5,31,2,Retrieval,Retrieval,S01
disk,Mother Teresa,Sarah Palin,Robin Williams,0.55,38.3440547999926,38.4148016999243,,NaN,,,D14,5,32,2,Retrieval,Retrieval,S01
cowbell,Daniel Radcliffe,Keira Knightley,Oprah Winfrey,0.67,39.1054197999183,39.1816414999776,,2,,,D14,5,33,3,Retrieval,Retrieval,S01
cowbell,Daniel Radcliffe,Keira Knightley,Oprah Winfrey,0.67,39.8924582999898,39.9648179999785,,NaN,,,D14,5,34,3,Retrieval,Retrieval,S01
flask,Justin Bieber,Mother Teresa,Stephen Hawking,0.75,40.7387635998894,40.8148118999088,,4,,,D14,5,35,4,Retrieval,Lure,S01
flask,Justin Bieber,Mother Teresa,Stephen Hawking,0.75,41.3715768998954,41.4481498999521,,NaN,,,D14,5,36,4,Retrieval,Lure,S01
plunger,Oprah Winfrey,Robin Williams,Mother Teresa,0.54,42.0074594999896,42.0814500999404,,3,,,D14,5,37,5,Retrieval,Retrieval,S01
plunger,Oprah Winfrey,Robin Williams,Mother Teresa,0.54,42.621296599973,42.6979236999759,,NaN,,,D14,5,38,5,Retrieval,Retrieval,S01
carabiner,Justin Bieber,Steve Jobs,Keira Knightley,0.74,43.4502098999219,43.5314427999547,,1,,,D14,5,39,6,Retrieval,Retrieval,S01
