concept,category,filename1,HR_pp
hammer,tool,hammer_exemplar1.jpg,0.51
loafer,clothing,loafer_exemplar1.jpg,0.51
dustpan,household items,dustpan_exemplar1.jpg,0.51
electric guitar,musical instruments,electric_guitar_exemplar1.jpg,0.51
pliers,tool,pliers_exemplar1.jpg,0.51
wire,tool,wire_exemplar1.jpg,0.51
flute,musical instruments,flute_exemplar1.jpg,0.5
lawnmower,appliances,lawnmower_exemplar1.jpg,0.5
lighter,tool,lighter_exemplar1.jpg,0.5
needle,household items,needle_exemplar1.jpg,0.5
rake,tool,rake_exemplar1.jpg,0.5
toaster oven,appliances,toaster_oven_exemplar1.jpg,0.5
vase,household items,vase_exemplar1.jpg,0.5
