object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Encoding,Encoding,11.200667600031,11.6819857000373,12.4292088000802,12.8807433000766,,,,,,,,,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Encoding,Encoding,13.3981803000206,13.8808730000164,14.635626400006,15.1141267999774,,,,,,,,,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Encoding,Encoding,15.6315392000834,16.1152619000059,16.673000000068,17.1474018000299,,,,,,,,,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Encoding,Encoding,17.8311841000104,18.3143058000132,19.0712102000834,19.5471113000531,,,,,,,,,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Encoding,Encoding,20.114746300038,20.5979268000228,21.2900437000208,21.7637617000146,,,,,,,,,,
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,Retrieval,Lure,,,,,,,30.2922344000544,30.7633216000395,,,31.5226928000338,31.9964041999774,,
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,Retrieval,Lure,,,,,,,32.5463778000558,33.029694100027,,,33.7874498000601,34.2629340999993,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Retrieval,Retrieval,,,,,,,34.9462040000362,35.4297964000143,,,36.0758733000839,36.5465311000589,,
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,Retrieval,Lure,,,,,,,37.0999779000413,37.5797157000052,,,38.2713116999948,38.7463336000219,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Retrieval,Retrieval,,,,,,,39.2712051999988,39.7461973000318,,,40.4318447000114,40.9126847999869,,
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Retrieval,Retrieval,,,,,,,41.5517478000838,42.0292782000033,,,42.7211294000736,43.1961200999795,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Retrieval,Retrieval,,,,,,,43.7125603000168,44.1961707000155,,,44.7813661000691,45.262607700075,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Retrieval,Retrieval,,,,,,,45.8359730000375,46.3127171000233,,,47.0055433000671,47.4790134000359,,
