"object","target","lure1","lure2","baseline","trial_type","retrieval_type"
"snowflake","Angelina Jolie","Lady Diana","Robert De Niro",0.7,"Encoding","Encoding"
"whistle","Bruce Willis","Lady Diana","Daniel Craig",0.62,"Encoding","Encoding"
"armor","Daniel Craig","Lady Diana","Angelina Jolie",0.7,"Encoding","Encoding"
"violin","Lady Diana","Bruce Willis","Angelina Jolie",0.52,"Encoding","Encoding"
"sarcophagus","Robert De Niro","Bruce Willis","Angelina Jolie",0.7,"Encoding","Encoding"
"violin","Lady Diana","Bruce Willis","Angelina Jolie",0.52,"Retrieval","Retrieval"
"candle","Daniel Craig","Lady Diana","Bruce Willis",0.56,"Retrieval","Lure"
"snowflake","Angelina Jolie","Lady Diana","Robert De Niro",0.7,"Retrieval","Retrieval"
"handcuff","Angelina Jolie","Bruce Willis","Daniel Craig",0.7,"Retrieval","Lure"
"sarcophagus","Robert De Niro","Bruce Willis","Angelina Jolie",0.7,"Retrieval","Retrieval"
"whistle","Bruce Willis","Lady Diana","Daniel Craig",0.62,"Retrieval","Retrieval"
"armor","Daniel Craig","Lady Diana","Angelina Jolie",0.7,"Retrieval","Retrieval"
"tape","Robert De Niro","Bruce Willis","Angelina Jolie",0.74,"Retrieval","Lure"
