object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
cowboy_boot,Jack Nicolson,Tom Cruise,Lady Gaga,0.52,Encoding,Encoding,-355.1595913,2.18755099999998,-355.1595913,5.89588830000002,,,,,,,,,,
belt,Lady Gaga,Leonardo DiCaprio,Scarlett Johansson,0.72,Encoding,Encoding,,,,,,,,,,,,,,
viking_helmet,Arnold Swarzenegger,Jackie Chan,Hillary Clinton,0.6,Encoding,Encoding,,,,,,,,,,,,,,
rope,Jackie Chan,Nelson Mandela,Mel Gibson,0.7,Encoding,Encoding,,,,,,,,,,,,,,
cane,Albert Einstein,Jackie Chan,Arnold Swarzenegger,0.71,Encoding,Encoding,,,,,,,,,,,,,,
cellphone,Tom Cruise,Leonardo DiCaprio,Scarlett Johansson,0.51,Encoding,Encoding,,,,,,,,,,,,,,
handbell,Bill Gates,Leonardo DiCaprio,Tom Cruise,0.61,Encoding,Encoding,,,,,,,,,,,,,,
bassoon,Hillary Clinton,Leonardo DiCaprio,Tom Cruise,0.55,Encoding,Encoding,,,,,,,,,,,,,,
headphone,Scarlett Johansson,Tom Cruise,Jack Nicolson,0.61,Encoding,Encoding,,,,,,,,,,,,,,
metronome,Sandra Bullock,Mel Gibson,Jackie Chan,0.65,Encoding,Encoding,,,,,,,,,,,,,,
joystick,Leonardo DiCaprio,Emma Watson,Scarlett Johansson,0.54,Encoding,Encoding,,,,,,,,,,,,,,
camera_lens,Nelson Mandela,Arnold Swarzenegger,Bill Gates,0.59,Encoding,Encoding,,,,,,,,,,,,,,
walker,Emma Watson,Jackie Chan,Scarlett Johansson,0.59,Encoding,Encoding,,,,,,,,,,,,,,
dryer,Mel Gibson,Arnold Swarzenegger,Sandra Bullock,0.74,Encoding,Encoding,,,,,,,,,,,,,,
rope,Jackie Chan,Nelson Mandela,Mel Gibson,0.7,Retrieval,Retrieval,,,,,,,-355.1595913,15.8959664,,,-355.1595913,20.6251007,,
safe,Tom Cruise,Jack Nicolson,Jackie Chan,0.63,Retrieval,Lure,,,,,,,,,,,,,,
viking_helmet,Arnold Swarzenegger,Jackie Chan,Hillary Clinton,0.6,Retrieval,Retrieval,,,,,,,,,,,,,,
cane,Albert Einstein,Jackie Chan,Arnold Swarzenegger,0.71,Retrieval,Retrieval,,,,,,,,,,,,,,
belt,Lady Gaga,Leonardo DiCaprio,Scarlett Johansson,0.72,Retrieval,Retrieval,,,,,,,,,,,,,,
handbell,Bill Gates,Leonardo DiCaprio,Tom Cruise,0.61,Retrieval,Retrieval,,,,,,,,,,,,,,
cigar,Hillary Clinton,Jack Nicolson,Nelson Mandela,0.57,Retrieval,Lure,,,,,,,,,,,,,,
cowboy_boot,Jack Nicolson,Tom Cruise,Lady Gaga,0.52,Retrieval,Retrieval,,,,,,,,,,,,,,
cellphone,Tom Cruise,Leonardo DiCaprio,Scarlett Johansson,0.51,Retrieval,Retrieval,,,,,,,,,,,,,,
metronome,Sandra Bullock,Mel Gibson,Jackie Chan,0.65,Retrieval,Retrieval,,,,,,,,,,,,,,
dryer,Mel Gibson,Arnold Swarzenegger,Sandra Bullock,0.74,Retrieval,Retrieval,,,,,,,,,,,,,,
scoop,Sandra Bullock,Tom Cruise,Emma Watson,0.67,Retrieval,Lure,,,,,,,,,,,,,,
walker,Emma Watson,Jackie Chan,Scarlett Johansson,0.59,Retrieval,Retrieval,,,,,,,,,,,,,,
joystick,Leonardo DiCaprio,Emma Watson,Scarlett Johansson,0.54,Retrieval,Retrieval,,,,,,,,,,,,,,
bassoon,Hillary Clinton,Leonardo DiCaprio,Tom Cruise,0.55,Retrieval,Retrieval,,,,,,,,,,,,,,
inkwell,Hillary Clinton,Sandra Bullock,Scarlett Johansson,0.68,Retrieval,Lure,,,,,,,,,,,,,,
camera_lens,Nelson Mandela,Arnold Swarzenegger,Bill Gates,0.59,Retrieval,Retrieval,,,,,,,,,,,,,,
headphone,Scarlett Johansson,Tom Cruise,Jack Nicolson,0.61,Retrieval,Retrieval,,,,,,,,,,,,,,
