object,target,lure1,lure2,baseline,trial_type,retrieval_type,encoding_onset,encoding_end,elaborate_onset,elaborate_end,elaborate_response,elaborate_rt,fc_onset,fc_end,fc_response,fc_rt,recall_onset,recall_end,recall_response,recall_rt
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Encoding,Encoding,11.4226398000028,11.9039912000299,12.6717266000342,13.1365198000567,,,,,,,,,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Encoding,Encoding,13.6542532000458,14.1367114000022,14.7435946000041,15.2196987000061,,,,,,,,,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Encoding,Encoding,15.7371706000995,16.2204158999957,16.7930542000104,17.2695171000669,,,,,,,,,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Encoding,Encoding,17.9372285000281,18.4206364999991,18.9989376000594,19.4697204000549,,,,,,,,,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Encoding,Encoding,20.0373236000305,20.5202478000429,21.1938126001041,21.6697042000014,,,,,,,,,,
handcuff,Lady Diana,Bruce Willis,Angelina Jolie,0.5,Retrieval,Lure,,,,,,,44.2736063000048,44.7517335000448,,,45.4267734000459,45.9018828000408,,
candle,Daniel Craig,Bruce Willis,Angelina Jolie,0.54,Retrieval,Lure,,,,,,,46.4595927000046,46.9351494000293,,,47.6428829000797,48.1181482000975,,
violin,Lady Diana,Robert De Niro,Daniel Craig,0.66,Retrieval,Retrieval,,,,,,,48.7847643001005,49.2681731000775,,,49.8082422000589,50.2849475000985,,
tape,Lady Diana,Daniel Craig,Robert De Niro,0.53,Retrieval,Lure,,,,,,,50.8370322000701,51.3183214000892,,,52.0706280000741,52.5514006000012,,
whistle,Bruce Willis,Robert De Niro,Daniel Craig,0.5,Retrieval,Retrieval,,,,,,,53.0767808000091,53.5514148001093,,,54.0755468000425,54.5513552000048,,
snowflake,Angelina Jolie,Bruce Willis,Robert De Niro,0.61,Retrieval,Retrieval,,,,,,,55.1729219000554,55.6512808999978,,,56.2588986000046,56.7346010000911,,
armor,Daniel Craig,Robert De Niro,Bruce Willis,0.5,Retrieval,Retrieval,,,,,,,57.2549139000475,57.7345562000992,,,58.3215367000084,58.8009734000079,,
sarcophagus,Robert De Niro,Daniel Craig,Bruce Willis,0.55,Retrieval,Retrieval,,,,,,,59.3727278000442,59.8512231000932,,,60.4706800000276,60.9510341000278,,
